Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
50,0.2835,0.433,0.8795,0.8245,0.9489,0.8956,0.8552,0.8068,0.8835,0.8295,0.9138,0.8534,0.9413,0.8607,0.9413,0.8607
51,0.2759,0.429,0.8823,0.8262,0.9517,0.8964,0.8581,0.8077,0.8862,0.8313,0.9161,0.8563,0.944,0.8635,0.944,0.8635
52,0.2668,0.4386,0.8872,0.8266,0.9551,0.8959,0.8637,0.8042,0.8907,0.8328,0.9195,0.8636,0.9484,0.8618,0.9484,0.8618
53,0.2635,0.4281,0.89,0.8297,0.956,0.8972,0.8677,0.8119,0.8932,0.8345,0.9202,0.8583,0.9493,0.8628,0.9493,0.8628
54,0.2606,0.4265,0.8907,0.8268,0.9573,0.8973,0.8673,0.8045,0.894,0.833,0.9224,0.8636,0.9509,0.8663,0.9509,0.8663
55,0.2561,0.4346,0.8925,0.8275,0.9589,0.8975,0.8705,0.8155,0.8956,0.8308,0.9221,0.8466,0.9537,0.8653,0.9537,0.8653
56,0.251,0.4461,0.8934,0.8272,0.9603,0.8967,0.8721,0.8008,0.8963,0.8345,0.922,0.8711,0.9555,0.8632,0.9555,0.8633
57,0.2505,0.4487,0.8947,0.8256,0.9603,0.8968,0.8739,0.8119,0.8975,0.8294,0.9224,0.8477,0.9545,0.8619,0.9545,0.862
58,0.2414,0.4515,0.8997,0.825,0.9631,0.8949,0.8801,0.8089,0.9022,0.8294,0.9256,0.851,0.9582,0.8607,0.9582,0.8608
59,0.2434,0.4486,0.8985,0.8273,0.9628,0.8964,0.8782,0.8126,0.9011,0.8313,0.9253,0.8508,0.9577,0.8631,0.9577,0.8632
60,0.2333,0.4641,0.9037,0.8281,0.9657,0.8975,0.884,0.8184,0.9061,0.8307,0.9293,0.8433,0.9612,0.8614,0.9612,0.8614
61,0.2317,0.4527,0.9042,0.8281,0.9662,0.8973,0.8852,0.804,0.9065,0.8346,0.929,0.8678,0.9618,0.8634,0.9618,0.8635
62,0.2278,0.4476,0.9058,0.8332,0.9674,0.9008,0.8863,0.8084,0.9082,0.8397,0.9312,0.8735,0.9633,0.8685,0.9633,0.8686
63,0.2278,0.4594,0.9061,0.8295,0.9675,0.8997,0.8886,0.8153,0.9081,0.8333,0.9285,0.8521,0.964,0.8657,0.964,0.8658
64,0.2232,0.4677,0.907,0.8291,0.9688,0.8994,0.89,0.815,0.9089,0.8328,0.9288,0.8514,0.9656,0.8656,0.9656,0.8657
65,0.2172,0.4592,0.9097,0.8288,0.9705,0.8998,0.8924,0.8138,0.9117,0.8328,0.9318,0.8528,0.9675,0.8664,0.9675,0.8665
66,0.2187,0.4763,0.9094,0.832,0.9701,0.8994,0.8917,0.8146,0.9114,0.8366,0.9319,0.8598,0.9673,0.8655,0.9673,0.8656
67,0.2126,0.4648,0.912,0.8314,0.9717,0.8985,0.8956,0.8147,0.9138,0.8357,0.9328,0.8578,0.9687,0.8642,0.9687,0.8642
68,0.2105,0.4836,0.9132,0.8295,0.9723,0.8978,0.8971,0.8261,0.9149,0.8304,0.9334,0.8347,0.9698,0.8644,0.9698,0.8645
69,0.2036,0.4766,0.9159,0.8327,0.9739,0.8986,0.9002,0.8075,0.9175,0.8393,0.9354,0.8737,0.9713,0.8622,0.9713,0.8623
70,0.2069,0.495,0.9145,0.8339,0.9733,0.9007,0.8982,0.8147,0.9162,0.8388,0.935,0.8644,0.9709,0.8651,0.9709,0.8652
71,0.2039,0.4839,0.9157,0.8266,0.9741,0.8988,0.9005,0.8139,0.9173,0.8301,0.9346,0.847,0.9711,0.8644,0.9711,0.8645
72,0.201,0.4876,0.9178,0.8307,0.9747,0.9004,0.9029,0.8043,0.9193,0.8378,0.9364,0.8741,0.9722,0.8637,0.9722,0.8638
73,0.2001,0.4883,0.9175,0.8317,0.975,0.9013,0.9025,0.8168,0.9191,0.8356,0.9362,0.8552,0.9728,0.8687,0.9728,0.8688
74,0.1949,0.4717,0.92,0.8349,0.9762,0.903,0.9058,0.8236,0.9213,0.8377,0.9374,0.8523,0.9741,0.8698,0.9741,0.8699
75,0.1873,0.4724,0.9238,0.8276,0.9781,0.8995,0.9104,0.8049,0.925,0.8338,0.94,0.8649,0.9762,0.8651,0.9762,0.8652
76,0.1895,0.4911,0.9226,0.8334,0.9775,0.9007,0.9092,0.8158,0.9238,0.8379,0.939,0.8611,0.9755,0.8668,0.9755,0.8668
77,0.1871,0.4931,0.9234,0.8319,0.9783,0.899,0.9104,0.8145,0.9246,0.8365,0.9392,0.8596,0.9765,0.8643,0.9765,0.8643
78,0.187,0.5049,0.9239,0.8354,0.9781,0.901,0.9116,0.8171,0.925,0.8401,0.9388,0.8644,0.976,0.8649,0.976,0.865
79,0.1875,0.5082,0.9234,0.8356,0.9782,0.9042,0.9098,0.8229,0.9246,0.8387,0.94,0.8552,0.9767,0.8709,0.9767,0.8709
80,0.1783,0.5182,0.9273,0.8317,0.9802,0.8989,0.9149,0.812,0.9283,0.8369,0.9421,0.8633,0.9787,0.8624,0.9787,0.8625
81,0.1447,0.5165,0.9434,0.8423,0.9869,0.9091,0.9325,0.833,0.9441,0.8445,0.956,0.8563,0.9858,0.8748,0.9858,0.8749
82,0.1288,0.5387,0.9491,0.8423,0.9897,0.9069,0.939,0.8268,0.9497,0.8459,0.9606,0.866,0.9891,0.8725,0.9891,0.8725
83,0.127,0.5444,0.9506,0.8386,0.9899,0.9066,0.9402,0.8344,0.9511,0.8397,0.9623,0.8451,0.9892,0.8723,0.9892,0.8724
84,0.1263,0.5539,0.9508,0.8429,0.9902,0.9071,0.9417,0.8323,0.9513,0.8454,0.9611,0.8589,0.9897,0.8702,0.9897,0.8703
85,0.1245,0.5553,0.9511,0.8399,0.9903,0.9069,0.9424,0.8263,0.9516,0.8431,0.961,0.8607,0.9898,0.8705,0.9898,0.8706
86,0.1226,0.5744,0.9506,0.8418,0.9907,0.9072,0.9414,0.8311,0.9511,0.8444,0.961,0.8581,0.9904,0.8716,0.9904,0.8716
87,0.1197,0.5815,0.953,0.8419,0.991,0.9074,0.9454,0.8374,0.9534,0.843,0.9616,0.8488,0.9905,0.8723,0.9905,0.8723
88,0.1195,0.5944,0.9533,0.8427,0.9911,0.9077,0.9456,0.841,0.9537,0.8431,0.9619,0.8453,0.9906,0.8729,0.9906,0.873
89,0.1174,0.5779,0.9536,0.8427,0.9914,0.9081,0.9461,0.8292,0.954,0.8459,0.9621,0.8633,0.9909,0.8726,0.9909,0.8726
90,0.1179,0.588,0.9535,0.8407,0.9913,0.907,0.9455,0.8326,0.9539,0.8427,0.9624,0.853,0.991,0.8725,0.991,0.8725
91,0.1181,0.616,0.9537,0.8411,0.9913,0.9074,0.9464,0.8339,0.9541,0.8428,0.962,0.8519,0.991,0.8727,0.991,0.8728
92,0.1133,0.6043,0.9559,0.8432,0.9919,0.9072,0.9491,0.8389,0.9562,0.8442,0.9635,0.8495,0.9915,0.8717,0.9915,0.8717
93,0.1116,0.6066,0.9556,0.8432,0.9922,0.9077,0.9491,0.8338,0.9559,0.8453,0.9628,0.8572,0.9918,0.8735,0.9918,0.8735
94,0.1086,0.6037,0.9576,0.8424,0.9926,0.9071,0.9512,0.8333,0.9578,0.8445,0.9646,0.8561,0.9923,0.8701,0.9923,0.8701
95,0.1125,0.6069,0.9562,0.845,0.9921,0.9063,0.9497,0.8343,0.9565,0.8475,0.9634,0.8611,0.9917,0.8708,0.9917,0.8708
