Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall
110,0.0179,0.5939,0.9939,0.9001,0.9931,0.7976,0.9927,0.758,0.9926,0.7507
111,0.0162,0.5857,0.9947,0.9041,0.9924,0.8181,0.9899,0.7853,0.9888,0.7778
112,0.0156,0.5716,0.9955,0.9001,0.9964,0.8388,0.9927,0.8005,0.9901,0.7837
113,0.0172,0.5623,0.9939,0.8996,0.9882,0.8164,0.9819,0.7768,0.9774,0.7617
114,0.0189,0.5873,0.9939,0.902,0.9952,0.8035,0.9892,0.7724,0.9848,0.7613
115,0.0189,0.5874,0.994,0.9039,0.9935,0.8025,0.9889,0.7766,0.9858,0.7714
116,0.0158,0.5759,0.9948,0.9028,0.9953,0.8195,0.9939,0.7963,0.9927,0.7938
117,0.0151,0.605,0.9954,0.902,0.9952,0.7932,0.9957,0.777,0.9963,0.7802
118,0.0157,0.5966,0.9947,0.906,0.9966,0.8394,0.9897,0.8209,0.9849,0.8219
119,0.0176,0.5711,0.9943,0.9028,0.9935,0.8146,0.994,0.7949,0.9947,0.8002
120,0.0135,0.5668,0.9955,0.9017,0.9969,0.7997,0.9928,0.7802,0.9898,0.7761
121,0.0097,0.6365,0.997,0.9031,0.9979,0.789,0.9943,0.7697,0.9912,0.7652
122,0.0067,0.5903,0.998,0.9049,0.997,0.796,0.9965,0.7727,0.996,0.7652
123,0.0077,0.6038,0.9974,0.9063,0.9943,0.8072,0.9931,0.7875,0.9928,0.7826
124,0.0066,0.5898,0.9985,0.9033,0.9983,0.8068,0.9949,0.7882,0.9926,0.7828
125,0.0066,0.6089,0.9978,0.9036,0.9961,0.8058,0.9968,0.783,0.9975,0.7782
126,0.0062,0.6017,0.9984,0.9039,0.9985,0.8077,0.9983,0.7895,0.9983,0.7851
127,0.0056,0.605,0.9985,0.9071,0.9992,0.8095,0.9987,0.7921,0.9983,0.7876
128,0.0053,0.622,0.9984,0.9052,0.9972,0.805,0.9968,0.7831,0.9966,0.7794
129,0.0057,0.6028,0.9984,0.9031,0.9995,0.7909,0.9991,0.7723,0.9988,0.7687
130,0.0054,0.6186,0.9984,0.9004,0.9993,0.7807,0.9953,0.7642,0.9924,0.7632
131,0.0065,0.641,0.9981,0.9028,0.9982,0.8096,0.9965,0.7908,0.995,0.7935
132,0.006,0.6185,0.9981,0.9041,0.9986,0.7999,0.9971,0.783,0.996,0.7814
133,0.0066,0.5983,0.9984,0.9041,0.9986,0.8067,0.9976,0.7845,0.9967,0.7812
134,0.0058,0.6032,0.9982,0.9084,0.9966,0.81,0.9959,0.7912,0.9956,0.7885
135,0.005,0.6226,0.9985,0.9065,0.9991,0.8038,0.9988,0.7801,0.9985,0.7754
136,0.0066,0.6224,0.9983,0.9047,0.9991,0.7843,0.9961,0.7652,0.9937,0.7666
