Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
62,0.0637,0.1583,0.9755,0.9415,0.9974,0.9871,0.9801,0.9106,0.9786,0.9301,0.9772,0.9505,0.9981,0.9834,0.9981,0.9834
63,0.0644,0.1699,0.9753,0.9394,0.9973,0.987,0.98,0.903,0.9785,0.9281,0.9769,0.9546,0.9981,0.9831,0.998,0.9831
64,0.063,0.18,0.976,0.9342,0.9975,0.9856,0.9807,0.8927,0.9791,0.9224,0.9775,0.954,0.9981,0.9813,0.9981,0.9813
65,0.0636,0.1537,0.9758,0.9421,0.9974,0.9871,0.9803,0.9157,0.9789,0.9305,0.9774,0.9458,0.9981,0.9835,0.9981,0.9835
66,0.0634,0.1512,0.9757,0.9443,0.9974,0.9878,0.9804,0.9193,0.9788,0.9331,0.9773,0.9473,0.9981,0.9843,0.9981,0.9843
67,0.0634,0.1817,0.9757,0.9334,0.9974,0.9863,0.9803,0.8865,0.9788,0.922,0.9772,0.9603,0.9981,0.9824,0.9981,0.9824
68,0.0624,0.1548,0.9762,0.9409,0.9975,0.9879,0.9807,0.9048,0.9793,0.9298,0.9778,0.9562,0.9982,0.9848,0.9981,0.9848
69,0.0629,0.1475,0.9759,0.9448,0.9975,0.9874,0.9805,0.9287,0.979,0.9329,0.9775,0.9372,0.9981,0.9837,0.9981,0.9837
70,0.0635,0.154,0.9757,0.9433,0.9974,0.9879,0.9803,0.9148,0.9788,0.9322,0.9773,0.9502,0.9981,0.9844,0.9981,0.9844
71,0.062,0.1507,0.9764,0.9444,0.9975,0.9882,0.9809,0.916,0.9794,0.9334,0.9779,0.9515,0.9982,0.9848,0.9982,0.9848
72,0.0623,0.1414,0.9764,0.9474,0.9975,0.9882,0.981,0.935,0.9794,0.9359,0.9778,0.9369,0.9982,0.9849,0.9981,0.9848
73,0.0639,0.1593,0.9757,0.9401,0.9974,0.9878,0.9803,0.902,0.9788,0.9291,0.9773,0.9579,0.9981,0.9846,0.9981,0.9846
74,0.062,0.1525,0.9763,0.9433,0.9975,0.9871,0.9808,0.9208,0.9793,0.9316,0.9778,0.9427,0.9982,0.9832,0.9982,0.9832
75,0.0619,0.1529,0.9764,0.943,0.9975,0.9869,0.981,0.9193,0.9795,0.9314,0.978,0.9438,0.9982,0.9833,0.9982,0.9833
76,0.0617,0.165,0.9764,0.9405,0.9976,0.9873,0.981,0.9056,0.9794,0.9293,0.9779,0.9542,0.9982,0.9836,0.9982,0.9836
77,0.0618,0.1563,0.9764,0.9419,0.9975,0.9875,0.981,0.9082,0.9795,0.9309,0.978,0.9546,0.9982,0.9842,0.9982,0.9842
78,0.0622,0.1491,0.9763,0.9453,0.9975,0.9884,0.981,0.917,0.9793,0.9345,0.9776,0.9526,0.9982,0.9851,0.9982,0.9851
79,0.0619,0.1555,0.9764,0.9415,0.9975,0.988,0.9809,0.9066,0.9794,0.9305,0.9779,0.9557,0.9982,0.9845,0.9982,0.9844
80,0.0618,0.1489,0.9764,0.9448,0.9975,0.9878,0.981,0.9207,0.9795,0.9335,0.9779,0.9467,0.9982,0.9843,0.9982,0.9843
81,0.0432,0.1274,0.9838,0.9546,0.9988,0.9915,0.987,0.9331,0.9859,0.9454,0.9847,0.958,0.9991,0.9892,0.9991,0.9892
82,0.0408,0.1314,0.9846,0.9533,0.9989,0.9915,0.9875,0.9269,0.9866,0.9441,0.9856,0.962,0.9992,0.9892,0.9992,0.9892
83,0.0409,0.1227,0.9845,0.9576,0.9989,0.9918,0.9875,0.9451,0.9865,0.9484,0.9855,0.9517,0.9992,0.9895,0.9992,0.9894
84,0.0404,0.1267,0.9847,0.9546,0.9989,0.9918,0.9876,0.9302,0.9867,0.9455,0.9857,0.9612,0.9992,0.9896,0.9992,0.9896
85,0.0396,0.1338,0.985,0.9547,0.999,0.9915,0.9879,0.9337,0.9869,0.9454,0.986,0.9574,0.9992,0.9891,0.9992,0.9891
86,0.0394,0.1223,0.9851,0.9574,0.999,0.9919,0.9878,0.9434,0.987,0.9483,0.9862,0.9531,0.9993,0.9897,0.9992,0.9897
87,0.0392,0.1259,0.9851,0.957,0.999,0.992,0.988,0.9386,0.987,0.948,0.986,0.9577,0.9993,0.9899,0.9992,0.9898
88,0.0386,0.1306,0.9854,0.9556,0.999,0.9918,0.9882,0.9332,0.9873,0.9466,0.9864,0.9603,0.9993,0.9896,0.9993,0.9895
